# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
254450,1,8,8000,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu7/9000 L1_SingleMu5/8000
254458,1,8,8000,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu7/9000 L1_SingleMu5/8000
256730,1,5,40,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu7/50 L1_SingleMu5/40
257487,1,1,250,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu5/262139 L1_SingleMu7/250
257487,13,5,40,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu7/50 L1_SingleMu5/40
257821,1,5,40,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu7/50 L1_SingleMu5/40
257968,1,1,250,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu5/262139 L1_SingleMu7/250
257968,7,5,40,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu7/50 L1_SingleMu5/40
257968,11,1,250,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu5/262139 L1_SingleMu7/250
257968,12,5,40,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu7/50 L1_SingleMu5/40
258129,1,1,250,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu5/262139 L1_SingleMu7/250
258129,17,5,40,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu7/50 L1_SingleMu5/40
258152,1,0,262139,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu7/262139 L1_SingleMu5/262139
258155,1,1,250,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu5/262139 L1_SingleMu7/250
258155,14,5,40,HLT_Mu7p5_Track3p5_Jpsi_v2/1,OR,L1_SingleMu7/50 L1_SingleMu5/40
